rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment,rank_position_group_vfm
267,22,FIFA 22,male,190971,O. Alonso,Osvaldo Alonso Moreno,35,CDM,MID,72,72,69.76249999999999,650000.0,4000.0,208000.0,858000.0,0.858,98.61537660715214,98.37072510540835,98.60496590495028,0.5212040031568554,2.758825415825868,Minnesota United FC,USA Major League Soccer,Cuba,https://sofifa.com/player/190971/osvaldo-alonso/220002,mid_market,9
271,22,FIFA 22,male,184142,Marco Soares,Marco Paulo da Silva Soares,37,CDM,MID,65,65,63.0225,140000.0,1000.0,52000.0,192000.0,0.192,98.59455520274842,99.01098329082296,98.25620738118786,0.5187988981293241,2.5604807641715226,FC Arouca,Portuguese Liga ZON SAGRES,Cape Verde Islands,https://sofifa.com/player/184142/marco-paulo-silva-soares/220002,low_perf_low_cost__budget_depth,10
282,22,FIFA 22,male,223855,H. Pereira,Hamilton Miguel Pereira Ferrón,34,CDM,MID,65,65,64.44,240000.0,500.0,26000.0,266000.0,0.266,98.53729634063818,98.89126021550152,98.24059132788506,0.510022550657541,2.5535137145585907,Cerro Largo Fútbol Club,Uruguayan Primera División,Uruguay,https://sofifa.com/player/223855/hamilton-pereira/220002,low_perf_low_cost__budget_depth,11
285,22,FIFA 22,male,134820,S. Brown,Scott Brown,36,CDM,MID,71,71,67.9525,375000.0,4000.0,208000.0,583000.0,0.583,98.52168028733536,98.51647493623445,98.39154650981207,0.5075400600725553,2.637286280376088,Aberdeen,Scottish Premiership,Scotland,https://sofifa.com/player/134820/scott-brown/220002,mid_market,12
286,22,FIFA 22,male,164470,Pita,Carlos Pita González,36,CDM,MID,69,69,66.5875,275000.0,3000.0,156000.0,431000.0,0.431,98.51647493623445,98.66222476706054,98.29785018999532,0.506121072568381,2.5922296341646103,CD Lugo,Spanish Segunda División,Spain,https://sofifa.com/player/164470/carlos-pita-gonzalez/220002,mid_market,13
296,22,FIFA 22,male,139475,G. Halford,Greg Halford,36,CDM,MID,60,60,58.765,50000.0,500.0,26000.0,76000.0,0.076,98.46442142522514,99.27125084586956,97.80854718650774,0.5015065680727762,2.352467657752392,Waterford FC,Rep. Ireland Airtricity League,England,https://sofifa.com/player/139475/greg-halford/220002,low_perf_low_cost__budget_depth,14
314,22,FIFA 22,male,216019,D. Musto,Damián Marcelo Musto,34,CDM,MID,72,72,69.53999999999999,800000.0,850.0,44200.0,844200.0,0.8442,98.37072510540835,98.14168965696736,98.34469834990372,0.493457696727934,2.607175927435748,Club Atlético Peñarol,Uruguayan Primera División,Argentina,https://sofifa.com/player/216019/damian-musto/220002,mid_market,15
340,22,FIFA 22,male,239950,Pêpê,Pedro Filipe Figueiredo Rodrigues,24,CDM,MID,72,77,75.5025,3200000.0,800.0,41600.0,3241600.0,3.2416,98.23538597678412,95.74722815053876,98.46442142522514,0.4780663259195432,2.6907600711819697,Futebol Clube de Famalicão,Portuguese Liga ZON SAGRES,Portugal,https://sofifa.com/player/239950/pedro-filipe-rodrigues/220002,high_perf_high_cost__premium_star,16
344,22,FIFA 22,male,152567,A. Tettey,Alexander Banor Tettey,35,CDM,MID,70,70,67.96249999999999,450000.0,3000.0,156000.0,606000.0,0.606,98.2145645723804,98.33428764770184,98.06881474155432,0.477157371041808,2.4782169180574414,Rosenborg BK,Norwegian Eliteserien,Norway,https://sofifa.com/player/152567/alexander-tettey/220002,mid_market,17
354,22,FIFA 22,male,253340,E. Mera,Efrén Alexander Mera Moreira,36,CAM,MID,71,71,68.095,600000.0,550.0,28600.0,628600.0,0.6286,98.16251106137108,98.25620738118786,98.0011451772422,0.4712194103269482,2.4507259504214147,Independiente del Valle,Ecuadorian Serie A,Ecuador,https://sofifa.com/player/253340/efren-mera/220002,mid_market,18
355,22,FIFA 22,male,239808,M. Sáček,Michal Sáček,24,CDM,MID,73,77,76.4525,4000000.0,750.0,39000.0,4039000.0,4.039,98.15730571027017,94.96122013429806,98.45401072302326,0.4709787861389779,2.6797674691624707,AC Sparta Praha,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/239808/michal-sacek/220002,high_perf_high_cost__premium_star,19
365,22,FIFA 22,male,233642,A. Laïdouni,Aïssa Bilal Laïdouni,24,CDM,MID,70,75,73.755,2200000.0,500.0,26000.0,2226000.0,2.226,98.10525219926085,96.413513091458,98.28743948779343,0.4671965149038196,2.585597311018631,Ferencvárosi TC,Hungarian Nemzeti Bajnokság I,France,https://sofifa.com/player/233642/aissa-laidouni/220002,mid_market,20
