rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment,rank_practical_vfm
1480,22,FIFA 22,male,262057,F. Ovelar,Fernando Fabián Ovelar Martínez,17,RW,ATT,61,81,68.8275,900000.0,500.0,26000.0,926000.0,0.926,92.30128572172192,92.91031180053096,91.58815262089428,0.2842935644630148,1.4905605594589415,Club Cerro Porteño,Paraguayan Primera División,Paraguay,https://sofifa.com/player/262057/fernando-ovelar/220002,mid_market,88
1488,22,FIFA 22,male,247497,A. Bella Kotchap,Armel Bella Kotchap,19,CB,DEF,71,85,76.0425,4200000.0,8000.0,416000.0,4616000.0,4.616,92.25964291291449,78.54874811306023,93.90973921190984,0.2837056076418263,1.6862971512594953,VfL Bochum 1848,German 1. Bundesliga,Germany,https://sofifa.com/player/247497/armel-bella-kotchap/220002,high_perf_high_cost__premium_star,89
1510,22,FIFA 22,male,247325,C. Cowell,Cade Dylan Cowell,17,ST,ATT,64,80,71.06,1500000.0,500.0,26000.0,1526000.0,1.526,92.1425225131435,89.25355265212639,92.26745093956588,0.2820555509550537,1.5403429816191905,San Jose Earthquakes,USA Major League Soccer,United States,https://sofifa.com/player/247325/cade-cowell/220002,mid_market,90
1511,22,FIFA 22,male,262842,M. Baturina,Martin Baturina,18,CM,MID,64,83,71.06,1500000.0,500.0,26000.0,1526000.0,1.526,92.1425225131435,89.25355265212639,92.26745093956588,0.2820555509550537,1.5403429816191905,Dinamo Zagreb,Croatian Prva HNL,Croatia,https://sofifa.com/player/262842/martin-baturina/220002,mid_market,91
1528,22,FIFA 22,male,230318,Nelsildo Reis,Nelson Arturo Reis Lopes,21,GK,GK,76,79,78.7,8000000.0,7000.0,364000.0,8364000.0,8.364,92.0514288688772,70.7251054083598,94.40424756649836,0.281223004090477,1.7465083123437353,Ceará Sporting Club,Campeonato Brasileiro Série A,Brazil,https://sofifa.com/player/230318/nelson-arturo-reis-lopes/220002,high_perf_high_cost__premium_star,92
1532,22,FIFA 22,male,262859,L. Colwill,Levi Colwill,18,CB,DEF,65,82,71.64,1700000.0,750.0,39000.0,1739000.0,1.739,92.03060746447348,87.95481755244391,92.41580344594244,0.2807384734792069,1.549418215679751,Huddersfield Town,English League Championship,England,https://sofifa.com/player/262859/levi-colwill/220002,mid_market,93
1533,22,FIFA 22,male,259166,E. Green,Etienne Green,20,GK,GK,72,81,76.36000000000001,4400000.0,11000.0,572000.0,4972000.0,4.972,92.02540211337256,77.20576752901984,93.86289105200146,0.2806781098886184,1.679168339372282,AS Saint-Étienne,French Ligue 1,England,https://sofifa.com/player/259166/etienne-green/220002,high_perf_high_cost__premium_star,94
1540,22,FIFA 22,male,257208,M. Balikwisha,Michel Ange Balikwisha,20,RW,ATT,70,83,75.72500000000001,3800000.0,10000.0,520000.0,4320000.0,4.32,91.98896465566602,78.78298891260216,93.62865025245954,0.2800508078428532,1.6583800125704045,Royal Antwerp FC,Belgian Jupiler Pro League,Belgium,https://sofifa.com/player/257208/michel-ange-balikwisha/220002,high_perf_high_cost__premium_star,95
1545,22,FIFA 22,male,263659,Herculano,Herculano Bucancil Nabian,17,ST,ATT,63,80,70.065,1200000.0,500.0,26000.0,1226000.0,1.226,91.96293790016136,90.67721617823122,91.74951850502316,0.2799352070581744,1.5018039115861512,Vitória de Guimarães,Portuguese Liga ZON SAGRES,Portugal,https://sofifa.com/player/263659/herculano-bucancil-nabian/220002,mid_market,96
1556,22,FIFA 22,male,251752,L. Chevalier,Lucas Chevalier,19,GK,GK,64,80,70.67,1300000.0,2000.0,104000.0,1404000.0,1.404,91.90567903805112,89.64655666024673,91.9369111446567,0.2791643630825912,1.514432832281031,Valenciennes FC,French Ligue 2,France,https://sofifa.com/player/251752/lucas-chevalier/220002,mid_market,97
1560,22,FIFA 22,male,247388,A. Buksa,Aleksander Buksa,18,ST,ATT,61,80,68.55499999999999,825000.0,1000.0,52000.0,877000.0,0.877,91.8848576336474,92.90510644943002,91.04159075529644,0.2790631516928086,1.4556200101374088,Genoa,Italian Serie A,Poland,https://sofifa.com/player/247388/aleksander-buksa/220002,mid_market,98
1570,22,FIFA 22,male,259087,R. Tagir,Ravil Tagir,18,CB,DEF,65,83,71.7925,1700000.0,2000.0,104000.0,1804000.0,1.804,91.83280412263808,87.38222893134142,92.296080370621,0.2784413192718683,1.5415729371635225,İstanbul Başakşehir FK,Turkish Süper Lig,Turkey,https://sofifa.com/player/259087/ravil-tagir/220002,mid_market,99
1595,22,FIFA 22,male,231108,S. Hefti,Silvan Hefti,23,RB,DEF,74,80,77.6275,6000000.0,12000.0,624000.0,6624000.0,6.624,91.70267034511478,72.85929935974181,93.97220342512102,0.2766837926793624,1.6931476303966804,BSC Young Boys,Swiss Super League,Switzerland,https://sofifa.com/player/231108/silvan-hefti/220002,high_perf_high_cost__premium_star,100
