rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment,rank_young_vfm
522,22,FIFA 22,male,244264,A. Gojak,Amer Gojak,24,CM,MID,69,75,73.4575,2200000.0,500.0,26000.0,2226000.0,2.226,97.28801207641456,94.94560408099528,97.58471708916764,0.4120346028719128,2.288097311018632,Dinamo Zagreb,Croatian Prva HNL,Bosnia and Herzegovina,https://sofifa.com/player/244264/amer-gojak/220002,mid_market,69
523,22,FIFA 22,male,228736,W. Faríñez,Wuilker Fariñez Aray,23,GK,GK,73,77,76.34,3500000.0,14000.0,728000.0,4228000.0,4.228,97.28280672531362,91.84842017594087,97.8501899953152,0.4120176675494469,2.367440119427627,Racing Club de Lens,French Ligue 1,Venezuela,https://sofifa.com/player/228736/wuilker-farinez/220002,high_perf_high_cost__premium_star,70
524,22,FIFA 22,male,257889,K. Jakić,Kristijan Jakić,24,CDM,MID,73,78,76.3425,4200000.0,600.0,31200.0,4231200.0,4.2312,97.27760137421268,91.83280412263808,97.84498464421424,0.4118508742078913,2.3666342470105235,Eintracht Frankfurt,German 1. Bundesliga,Croatia,https://sofifa.com/player/257889/kristijan-jakic/220002,high_perf_high_cost__premium_star,71
530,22,FIFA 22,male,234100,G. Escobar,Gonzalo Daniel Escobar,24,LB,DEF,73,76,76.2025,3800000.0,6000.0,312000.0,4112000.0,4.112,97.24636926760712,91.86403622924368,97.8033418354068,0.4097005239946646,2.351498618243056,UD Ibiza,Spanish Segunda División,Argentina,https://sofifa.com/player/234100/gonzalo-escobar/220002,high_perf_high_cost__premium_star,72
532,22,FIFA 22,male,224756,A. Lusamba,Arnaud Lusamba,24,CM,MID,72,76,75.5525,3300000.0,5000.0,260000.0,3560000.0,3.56,97.23595856540524,92.67086564988809,97.70964551559004,0.4092764645570688,2.331362869214047,Amiens SC,French Ligue 2,France,https://sofifa.com/player/224756/arnaud-lusamba/220002,high_perf_high_cost__premium_star,73
549,22,FIFA 22,male,231235,K. Amian,Kelvin Amian Adou,23,CB,DEF,73,77,76.60999999999999,3900000.0,12000.0,624000.0,4524000.0,4.524,97.1474675966894,90.9530997865806,97.75649367549842,0.4057033893000752,2.3417645378971343,Spezia,Italian Serie A,France,https://sofifa.com/player/231235/kelvin-amian/220002,high_perf_high_cost__premium_star,74
550,22,FIFA 22,female,261806,C. Tison,Charlotte Tison,23,CB,DEF,70,76,73.63,2300000.0,600.0,31200.0,2331200.0,2.3312,97.14226224558846,94.52917599292071,97.45458331164436,0.405546947796831,2.258825678798871,,,Belgium,https://sofifa.com/player/261806/charlotte-tison/220002,mid_market,75
557,22,FIFA 22,male,256903,Gonçalo Ramos,Gonçalo Matias Ramos,20,CF,ATT,72,86,77.805,5500000.0,8000.0,416000.0,5916000.0,5.916,97.10582478788194,88.94383426162095,97.8345739420124,0.4037738988582358,2.3645751643371824,SL Benfica,Portuguese Liga ZON SAGRES,Portugal,https://sofifa.com/player/256903/goncalo-matias-ramos/220002,high_perf_high_cost__premium_star,76
560,22,FIFA 22,male,228456,Juan Pérez,Juan Manuel Pérez Ruiz,24,GK,GK,69,75,73.39,1800000.0,8000.0,416000.0,2216000.0,2.216,97.09020873457914,94.63848836604028,97.36609234292854,0.4032701199837659,2.2402710755675344,CA Osasuna,Spain Primera Division,Spain,https://sofifa.com/player/228456/juan-manuel-perez-ruiz/220002,mid_market,77
561,22,FIFA 22,male,239704,K. Wagner,Kai Wagner,24,LB,DEF,73,76,76.16499999999999,3800000.0,6000.0,312000.0,4112000.0,4.112,97.08500338347822,91.39034927905888,97.65238665347977,0.4027473418057673,2.313998618243048,Philadelphia Union,USA Major League Soccer,Germany,https://sofifa.com/player/239704/kai-wagner/220002,high_perf_high_cost__premium_star,78
